codigo_sgif,observ,codigo_rc,distrito,concelho,freguesia,area_arborizada,area_nao_arborizada,dia_semana,reacendimento,causa,data_inicio,hora_inicio,primeira_intervencao,data_fim,hora_fim
TM01028,,RC11700006,VILA REAL,VILA REAL,PARADA DE CUNHOS,0,0.01,7,S,REA,1995-07-22,14:25:00,,1995-07-22 15:15:00,15:15:00
TM01148,,RC11700001,VILA REAL,ALIJÓ,CARLÃO,0,0.01,1,S,REA,1995-07-23,21:55:00,,1995-07-23 23:30:00,23:30:00
TM01188,,RC11700002,VILA REAL,MESÃO FRIO,BARQUEIROS,0,0.01,1,S,REA,1995-07-23,14:55:00,,1995-07-23 15:45:00,15:45:00
TM01241,,RC11700004,VILA REAL,SABROSA,SÃO MARTINHO DE ANTAS,0,0.01,6,S,REA,1995-07-28,19:48:00,,1995-07-28 20:14:00,20:14:00
TM01241,,RC11700004,VILA REAL,SABROSA,SÃO MARTINHO DE ANTAS,0,0.01,7,S,REA,1995-07-29,10:20:00,,1995-07-29 11:20:00,11:20:00
TM01268,,RC11700005,VILA REAL,SANTA MARTA DE PENAGUIÃO,MEDRÕES,0,0.01,2,S,REA,1995-07-31,17:40:00,,1995-07-31 18:10:00,18:10:00
TM01297,,RC11700001,VILA REAL,ALIJÓ,PEGARINHOS,0,0.01,2,S,REA,1995-07-31,22:10:00,,1995-08-01 10:30:00,10:30:00
TM01301,,RC11700006,VILA REAL,VILA REAL,PARADA DE CUNHOS,0,0.01,3,S,REA,1995-08-01,23:31:00,,1995-08-02 01:45:00,01:45:00
TM01301,,RC11700006,VILA REAL,VILA REAL,PARADA DE CUNHOS,0,0.01,4,S,REA,1995-08-02,08:00:00,,1995-08-02 09:15:00,09:15:00
TM01301,,RC11700006,VILA REAL,VILA REAL,PARADA DE CUNHOS,0,0.01,4,S,REA,1995-08-02,13:45:00,,1995-08-02 19:30:00,19:30:00
TM01301,,RC11700006,VILA REAL,VILA REAL,PARADA DE CUNHOS,0,0.01,4,S,REA,1995-08-02,19:45:00,,1995-08-02 21:00:00,21:00:00
TM01301,,RC11700006,VILA REAL,VILA REAL,PARADA DE CUNHOS,0,0.01,4,S,REA,1995-08-02,21:15:00,,1995-08-03 04:25:00,04:25:00
TM01301,,RC11700006,VILA REAL,VILA REAL,PARADA DE CUNHOS,0,0.01,5,S,REA,1995-08-03,06:45:00,,1995-08-03 07:20:00,07:20:00
TM01301,,RC11700006,VILA REAL,VILA REAL,PARADA DE CUNHOS,0,0.01,5,S,REA,1995-08-03,13:20:00,,1995-08-03 13:40:00,13:40:00
TM01301,,RC11700006,VILA REAL,VILA REAL,PARADA DE CUNHOS,0,0.01,5,S,REA,1995-08-03,23:25:00,,1995-08-04 00:40:00,00:40:00
TM01475,,RC11800012,BRAGANÇA,MIRANDELA,TORRE DONA CHAMA,0,0.01,7,S,REA,1995-08-12,23:30:00,,1995-08-13 00:40:00,00:40:00
TM01716,,RC11700007,VISEU,ARMAMAR,SANTIAGO,0,0.01,5,S,REA,1995-08-10,23:50:00,,1995-08-11 01:20:00,01:20:00
TM01831,,RC11700006,VILA REAL,VILA REAL,LAMARES,0,0.01,2,S,REA,1995-09-04,14:40:00,,1995-09-04 16:50:00,16:50:00
TM02139,,RC11700004,VILA REAL,SABROSA,SÃO MARTINHO DE ANTAS,0,0.01,3,S,REA,1995-08-15,16:45:00,,1995-08-15 17:45:00,17:45:00
TM02162,,RC11700006,VILA REAL,VILA REAL,LORDELO,0,0.01,4,S,REA,1995-08-16,00:38:00,,1995-08-16 02:03:00,02:03:00
TM02185,,RC11700003,VILA REAL,PESO DA REGUA,SEDIELOS,0,0.01,4,S,REA,1995-08-09,13:37:00,,1995-08-09 14:50:00,14:50:00
TM02185,,RC11700003,VILA REAL,PESO DA REGUA,SEDIELOS,0,0.01,5,S,REA,1995-08-10,14:50:00,,1995-08-10 17:35:00,17:35:00
TM02227,,RC11700001,VILA REAL,ALIJÓ,ALIJÓ,0,0.01,4,S,REA,1995-08-16,16:00:00,,1995-08-16 19:00:00,19:00:00
TM02341,,RC11700006,VILA REAL,VILA REAL,BORBELA,0,0.01,4,S,REA,1995-08-30,22:55:00,,1995-08-31 00:20:00,00:20:00
TM02449,,RC11700005,VILA REAL,SANTA MARTA DE PENAGUIÃO,ALVAÇÕES DO CORGO,0,0.01,4,S,REA,1995-08-23,23:50:00,,1995-08-24 01:10:00,01:10:00
TM02449,,RC11700005,VILA REAL,SANTA MARTA DE PENAGUIÃO,ALVAÇÕES DO CORGO,0,0.01,5,S,REA,1995-08-24,13:00:00,,1995-08-24 15:15:00,15:15:00
TM02670,,RC11700006,VILA REAL,VILA REAL,MOUÇÓS,0,0.01,7,S,REA,1995-09-02,19:25:00,,1995-09-02 20:30:00,20:30:00
TM02715,,RC11700004,VILA REAL,SABROSA,SABROSA,0,0.01,2,S,REA,1995-10-02,20:47:00,,1995-10-02 21:20:00,21:20:00
TM02718,,RC11700009,VISEU,MOIMENTA DA BEIRA,CARIA,0,0.01,5,S,REA,1995-08-31,17:44:00,,1995-08-31 19:29:00,19:29:00
TM02735,,RC11700014,VISEU,TAROUCA,SÃO JOÃO DE TAROUCA,0,0.01,4,S,REA,1995-08-30,21:35:00,,1995-08-30 22:00:00,22:00:00
TM02925,,RC11700006,VILA REAL,VILA REAL,PENA,0,0.01,1,S,REA,1995-09-03,16:25:00,,1995-09-03 20:00:00,20:00:00
TM03114,,RC11700006,VILA REAL,VILA REAL,ADOUFE,0,0.01,3,S,REA,1995-08-22,19:35:00,,1995-08-22 21:25:00,21:25:00
TM03132,,RC11700006,VILA REAL,VILA REAL,SÃO TOMÉ DO CASTELO,0,0.01,3,S,REA,1995-08-22,21:15:00,,1995-08-23 00:55:00,00:55:00
TM03135,,RC11700006,VILA REAL,VILA REAL,LAMARES,0,0.01,1,S,REA,1995-09-03,17:15:00,,1995-09-03 19:00:00,19:00:00
TM03160,,RC11700004,VILA REAL,SABROSA,SÃO MARTINHO DE ANTAS,0,0.01,7,S,REA,1995-08-26,07:28:00,,1995-08-26 08:27:00,08:27:00
TM03210,,RC11700005,VILA REAL,SANTA MARTA DE PENAGUIÃO,FONTES,0,0.01,3,S,REA,1995-08-22,01:25:00,,1995-08-22 03:30:00,03:30:00
TM03210,,RC11700005,VILA REAL,SANTA MARTA DE PENAGUIÃO,FONTES,0,0.01,3,S,REA,1995-08-22,07:25:00,,1995-08-22 10:20:00,10:20:00
TM03228,,RC11700006,VILA REAL,VILA REAL,ADOUFE,0,0.01,7,S,REA,1995-08-26,13:15:00,,1995-08-26 14:20:00,14:20:00
TM03228,,RC11700006,VILA REAL,VILA REAL,ADOUFE,0,0.01,1,S,REA,1995-08-27,11:05:00,,1995-08-27 11:55:00,11:55:00
TM03242,,RC11700006,VILA REAL,VILA REAL,SÃO TOMÉ DO CASTELO,0,0.01,1,S,REA,1995-09-03,14:15:00,,1995-09-03 16:00:00,16:00:00
TM03242,,RC11700006,VILA REAL,VILA REAL,VILARINHO DE SAMARDÃ,0,0.01,1,S,REA,1995-09-03,22:10:00,,1995-09-03 23:55:00,23:55:00
TM03298,,RC11800005,VILA REAL,VILA POUCA DE AGUIAR,BORNES DE AGUIAR,0,0.01,2,S,REA,1995-08-28,14:40:00,,1995-08-28 15:45:00,15:45:00
TM03323,,RC11700005,VILA REAL,SANTA MARTA DE PENAGUIÃO,CUMIEIRA,0,0.01,2,S,REA,1995-08-28,12:55:00,,1995-08-28 13:55:00,13:55:00
TM03353,,RC11700006,VILA REAL,VILA REAL,CONSTANTIM,0,0.01,7,S,REA,1995-08-26,16:20:00,,1995-08-26 19:15:00,19:15:00
TM03613,,RC11700004,VILA REAL,SABROSA,PROVESENDE,0,0.01,6,S,REA,1995-09-29,23:00:00,,1995-09-29 23:20:00,23:20:00
TM03640,,RC11700004,VILA REAL,SABROSA,SOUTO MAIOR,0,0.01,2,S,REA,1995-10-02,13:25:00,,1995-10-02 13:50:00,13:50:00
TM03765,,RC11700001,VILA REAL,ALIJÓ,VILA VERDE,0,0.01,7,S,REA,1995-10-07,17:25:00,,1995-10-07 19:10:00,19:10:00
TM04041,,RC11700001,VILA REAL,ALIJÓ,FAVAIOS,0,0.01,2,S,REA,1995-10-16,18:45:00,,1995-10-16 19:30:00,19:30:00
TM04146,,RC11700001,VILA REAL,ALIJÓ,FAVAIOS,0,0.01,6,S,REA,1995-10-20,01:05:00,,1995-10-20 02:15:00,02:15:00
TM04229,,RC11700001,VILA REAL,ALIJÓ,COTAS,0,0.01,2,S,REA,1995-10-23,19:05:00,,1995-10-23 19:50:00,19:50:00
