codigo_sgif,distrito,concelho,freguesia,data_inicio,hora_inicio,data_fim,hora_fim,reacendimento,area_povoamento,area_mato,area_total,causa
DM03001790,Viana do Castelo,Ponte de Lima,Vilar do Monte,1998-02-11,02:45:00,1998-02-11,04:30:00,,0,1,1,
DM03001807,Viana do Castelo,Caminha,Riba de Âncora,1998-02-11,13:20:00,1998-02-11,14:10:00,,0,0.01,0.01,
DM03001813,Viana do Castelo,Valença,Gondomil,1998-02-11,14:30:00,1998-02-11,16:25:00,,0.02,0,0.02,
TM00009,Vila Real,Vila Real,Mouçós,1998-02-11,18:12:00,1998-02-11,20:15:00,,0,1,1,DES
TM00010,Vila Real,Vila Real,Mouçós,1998-02-11,18:43:00,1998-02-11,19:25:00,,0,0.5,0.5,DES
TM00011,Vila Real,Alijó,Sanfins do Douro,1998-02-11,21:20:00,1998-02-11,21:50:00,,0,0.02,0.02,DES
TM00012,Bragança,Macedo de Cavaleiros,Espadanedo,1998-02-11,23:50:00,1998-02-11,02:05:00,,0,0.5,0.5,DES
BI0701579,Guarda,Seia,Vila Cova à Coelheira,1998-02-12,15:28:00,1998-02-12,16:20:00,,1,0,1,
BL0300026,Aveiro,Ovar,São Vicente de Pereira Jusã,1998-02-12,02:25:00,1998-02-12,02:52:00,,0,0.03,0.03,
BL0500185,Leiria,Pombal,Pombal,1998-02-12,15:55:00,1998-02-12,16:45:00,,0,0.05,0.05,
DM01003229,Porto,Baião,Ancede,1998-02-12,13:25:00,1998-02-12,15:10:00,,1,1,2,
DM01003240,Porto,Paços de Ferreira,Carvalhosa,1998-02-12,15:40:00,1998-02-12,16:25:00,,0,0.15,0.15,
DM01003255,Porto,Amarante,Louredo,1998-02-12,20:45:00,1998-02-12,21:45:00,,0,0.25,0.25,
DM01003257,Porto,Paredes,Vilela,1998-02-12,22:00:00,1998-02-12,23:10:00,,0,0.6,0.6,
DM01007980,Porto,Póvoa de Varzim,Laundos,1998-02-12,06:25:00,1998-02-12,07:20:00,,0,0.1,0.1,
DM01008042,Porto,Valongo,Valongo,1998-02-12,12:55:00,1998-02-12,13:30:00,,0,0.02,0.02,
DM01008073,Porto,Valongo,Ermesinde,1998-02-12,15:23:00,1998-02-12,18:30:00,,0.5,1.5,2,
DM02002198,Braga,Póvoa de Lanhoso,Serzedelo,1998-02-12,19:40:00,1998-02-12,20:45:00,,0,0.5,0.5,
DM02002206,Braga,Guimarães,Azurém,1998-02-12,21:30:00,1998-02-12,22:00:00,,0,0.05,0.05,
DM02002208,Braga,Vieira do Minho,Ventosa,1998-02-12,23:50:00,1998-02-13,01:25:00,,0.2,0,0.2,
DM02004894,Braga,Terras de Bouro,Covide,1998-02-12,20:33:00,1998-02-12,21:50:00,,0,1,1,
DM02004908,Braga,Barcelos,Vila Cova,1998-02-12,22:30:00,1998-02-12,23:15:00,,0,0.03,0.03,
DM03001847,Viana do Castelo,Melgaço,Cousso,1998-02-12,09:00:00,1998-02-12,11:50:00,,0,1,1,
DM03001860,Viana do Castelo,Viana do Castelo,Cardielos,1998-02-12,15:05:00,1998-02-12,16:15:00,,0.1,0,0.1,
DM03001861,Viana do Castelo,Ponte da Barca,Britelo,1998-02-12,15:25:00,1998-02-12,18:45:00,,1,1,2,
RO0003,Leiria,Caldas da Rainha,Serra de Bouro,1998-02-12,19:12:00,1998-02-12,20:55:00,,0,0.5,0.5,
TM00014,Vila Real,Vila Pouca de Aguiar,Vila Pouca de Aguiar,1998-02-12,16:00:00,1998-02-12,16:55:00,,0.01,0,0.01,DES
BI0701620,Guarda,Sabugal,Quintas de São Bartolomeu,1998-02-13,15:54:00,1998-02-13,16:04:00,,0,0.001,0.001,
BL0300028,Aveiro,Estarreja,Avanca,1998-02-13,17:49:00,1998-02-13,18:50:00,,0,0.02,0.02,
BL0300030,Aveiro,Ovar,Válega,1998-02-13,15:16:00,1998-02-13,16:22:00,,0,0.05,0.05,
BL0500187,Leiria,Ansião,Ansião,1998-02-13,11:50:00,1998-02-13,12:10:00,,0.01,0,0.01,
BL0500189,Leiria,Leiria,Bidoeira de Cima,1998-02-13,13:08:00,1998-02-13,16:05:00,,5,0,5,
BL0500191,Leiria,Pombal,Redinha,1998-02-13,16:29:00,1998-02-13,17:50:00,,0.01,0,0.01,
BL0500193,Leiria,Leiria,Caranguejeira,1998-02-13,17:40:00,1998-02-13,18:40:00,,0.02,0,0.02,
BL0500195,Leiria,Leiria,Maceira,1998-02-13,18:42:00,1998-02-13,19:20:00,,0.02,0,0.02,
DM01003305,Porto,Paços de Ferreira,Freamunde,1998-02-13,18:35:00,1998-02-13,19:05:00,,0,0.01,0.01,
DM01003310,Porto,Paredes,Sobreira,1998-02-13,19:30:00,1998-02-13,20:20:00,,0.02,0,0.02,
DM01008249,Porto,Gondomar,Fânzeres,1998-02-13,14:15:00,1998-02-13,15:50:00,,0,0.2,0.2,
DM01008269,Porto,Matosinhos,Guifões,1998-02-13,15:05:00,1998-02-13,16:20:00,,0,0.05,0.05,
DM01008292,Porto,Gondomar,Medas,1998-02-13,16:10:00,1998-02-13,17:30:00,,0,0.2,0.2,
DM01008323,Porto,Valongo,Alfena,1998-02-13,18:30:00,1998-02-13,19:10:00,,0,0.05,0.05,
DM01008337,Porto,Gondomar,Melres,1998-02-13,19:40:00,1998-02-13,20:50:00,,0,0.1,0.1,
DM02002237,Braga,Vieira do Minho,Mosteiro,1998-02-13,16:50:00,1998-02-13,17:30:00,,0,0.5,0.5,
DM02002246,Braga,Guimarães,Infantas,1998-02-13,19:20:00,1998-02-13,20:45:00,,0.2,0,0.2,
DM02004928,Braga,Terras de Bouro,Gondoriz,1998-02-13,08:47:00,1998-02-13,10:25:00,,0,2,2,
DM02004976,Braga,Vila Nova de Famalicão,Ribeirão,1998-02-13,15:00:00,1998-02-13,15:50:00,,0,0.05,0.05,
DM02005021,Braga,Barcelos,Bastuço (Sto Estêvão),1998-02-13,20:00:00,1998-02-13,21:00:00,,0,0.05,0.05,
DM02005049,Braga,Barcelos,Bastuço (Sto Estêvão),1998-02-13,20:50:00,1998-02-13,23:20:00,,0,0.1,0.1,
DM03001911,Viana do Castelo,Valença,Cristelo Covo,1998-02-13,17:05:00,1998-02-13,17:35:00,,0,0.01,0.01,
DM03001917,Viana do Castelo,Viana do Castelo,Meadela,1998-02-13,20:15:00,1998-02-13,21:30:00,,0.05,0,0.05,
DM05002314,Aveiro,Vale de Cambra,São Pedro de Castelões,1998-02-13,13:05:00,1998-02-13,13:35:00,,0,0.02,0.02,
DM06001315,Vila Real,Mondim de Basto,Ermelo,1998-02-13,20:05:00,1998-02-13,21:45:00,,0,0.1,0.1,
TM00015,Vila Real,Sabrosa,Passos,1998-02-13,14:27:00,1998-02-13,15:00:00,,0,0.01,0.01,DES
TM00574,Viseu,Lamego,Penude,1998-02-13,12:42:00,1998-02-13,14:30:00,,0,0.3,0.3,DES
TM00578,Viseu,Sernancelhe,Quintela,1998-02-13,13:35:00,1998-02-13,15:55:00,,0.5,0,0.5,DES
TM00582,Viseu,Tarouca,Salzedas,1998-02-13,15:40:00,1998-02-13,16:30:00,,0,0.02,0.02,DES
TM00592,Viseu,Lamego,Lazarim,1998-02-13,17:55:00,1998-02-13,22:55:00,,0.5,2,2.5,DES
TM00613,Viseu,Tarouca,Várzea da Serra,1998-02-13,20:15:00,1998-02-13,22:40:00,,0,2,2,DES
BI01300003,Castelo Branco,Sertã,Nesperal,1998-02-14,13:46:00,1998-02-14,14:23:00,,0,0.007,0.007,
BI01300004,Castelo Branco,Sertã,Sertã,1998-02-14,15:23:00,1998-02-14,17:40:00,,0,0.15,0.15,
BL0300032,Aveiro,Albergaria-a-Velha,Albergaria-a-Velha,1998-02-14,19:25:00,1998-02-14,20:23:00,,0.01,0,0.01,
DM01003354,Porto,Felgueiras,Friande,1998-02-14,12:00:00,1998-02-14,12:25:00,,0,0.05,0.05,
DM01003388,Porto,Lousada,Meinedo,1998-02-14,19:50:00,1998-02-14,20:45:00,,0,0.1,0.1,
DM01008441,Porto,Gondomar,Jovim,1998-02-14,11:25:00,1998-02-14,12:30:00,,0,0.1,0.1,
DM01008451,Porto,Vila Nova de Gaia,Madalena,1998-02-14,12:35:00,1998-02-14,13:40:00,,0,0.05,0.05,
DM01008458,Porto,Gondomar,Foz do Sousa,1998-02-14,13:28:00,1998-02-14,16:00:00,,0,0.2,0.2,
DM01008460,Porto,Santo Tirso,Bougado (São Martinho),1998-02-14,13:35:00,1998-02-14,14:20:00,,0,0.1,0.1,
DM01008473,Porto,Vila Nova de Gaia,São Félix da Marinha,1998-02-14,14:25:00,1998-02-14,15:10:00,,0,0.15,0.15,
DM01008476,Porto,Vila do Conde,Árvore,1998-02-14,14:45:00,1998-02-14,15:25:00,,0,0.01,0.01,
DM01008483,Porto,Matosinhos,São Mamede de Infesta,1998-02-14,15:32:00,1998-02-14,16:10:00,,0,0.01,0.01,
DM01008484,Porto,Vila Nova de Gaia,Grijó,1998-02-14,15:40:00,1998-02-14,16:25:00,,0,0.01,0.01,
DM01008498,Porto,Vila Nova de Gaia,Pedroso,1998-02-14,17:35:00,1998-02-14,18:05:00,,0,0.02,0.02,
DM02005106,Braga,Braga,Sequeira,1998-02-14,15:10:00,1998-02-14,16:45:00,,0,0.01,0.01,
DM02005110,Braga,Vila Nova de Famalicão,Antas,1998-02-14,15:20:00,1998-02-14,16:00:00,,0,0.1,0.1,
DM02005120,Braga,Barcelos,Mariz,1998-02-14,16:44:00,1998-02-14,17:30:00,,0,0.05,0.05,
DM02005151,Braga,Esposende,Marinhas,1998-02-14,20:10:00,1998-02-14,20:55:00,,0.03,0,0.03,
DM02005168,Braga,Terras de Bouro,Chorense,1998-02-14,21:47:00,1998-02-14,22:35:00,,0,0.05,0.05,
DM02005177,Braga,Terras de Bouro,Chorense,1998-02-14,23:15:00,1998-02-15,00:20:00,,0,0.02,0.02,
DM03001953,Viana do Castelo,Melgaço,Cristoval,1998-02-14,16:55:00,1998-02-14,17:45:00,,0,0.01,0.01,
DM03001955,Viana do Castelo,Melgaço,São Paio,1998-02-14,17:45:00,1998-02-14,22:00:00,,0,6,6,
DM03001963,Viana do Castelo,Viana do Castelo,Cardielos,1998-02-14,20:25:00,1998-02-14,21:35:00,,0.1,0,0.1,
DM03001965,Viana do Castelo,Paredes de Coura,Bico,1998-02-14,20:55:00,1998-02-14,23:05:00,,0,1.5,1.5,
DM03001966,Viana do Castelo,Viana do Castelo,Mujães,1998-02-14,21:05:00,1998-02-14,22:00:00,,0.02,0,0.02,
DM05002382,Aveiro,Feira,Nogueira da Regedoura,1998-02-14,16:10:00,1998-02-14,17:30:00,,0,0.2,0.2,
RO0006,Leiria,Alcobaça,Pataias,1998-02-14,23:00:00,1998-02-15,00:07:00,,0,0.5,0.5,
TM00016,Vila Real,Montalegre,Venda Nova,1998-02-14,14:30:00,1998-02-14,15:40:00,,0.01,0,0.01,DES
TM00017,Vila Real,Montalegre,Cabril,1998-02-14,15:40:00,1998-02-14,19:10:00,,4,0,4,DES
AT0003,Beja,Odemira,São Salvador,1998-02-15,15:00:00,1998-02-15,16:30:00,,0.001,0,0.001,
BI01300005,Castelo Branco,Fundão,Alpedrinha,1998-02-15,14:20:00,1998-02-15,16:20:00,,0,2,2,
BI0701692,Guarda,Seia,Torrozelo,1998-02-15,13:12:00,1998-02-15,13:55:00,,0.001,0.001,0.002,
BI0701693,Guarda,Guarda,Vila Cortês do Mondego,1998-02-15,13:20:00,1998-02-15,17:00:00,,0,4,4,
BL0500017,Coimbra,Miranda do Corvo,Vila Nova,1998-02-15,16:20:00,1998-02-15,17:15:00,,0,0.15,0.15,
BL0500407,Coimbra,Cantanhede,Serpins,1998-02-15,13:04:00,1998-02-15,14:25:00,,0.06,0,0.06,
DM01003398,Porto,Felgueiras,Margaride (Sta Eulália),1998-02-15,00:25:00,1998-02-15,01:00:00,,0,0.01,0.01,
DM01003407,Porto,Amarante,Ansiães,1998-02-15,03:00:00,1998-02-15,07:15:00,,0,4,4,
