REGISTO,OBSER,CONCELHO,FREGUESIA,DATAINICIO,HORAINI,MINUTINI,DATAFIM,HORAFIM,MINUFIM,CAUSA,A_ARBORIZA,A_N_ARBORI,TOTAL
DM3446,,P.FERREIRA,FERREIRA,1993/08/04,15,10,1993/08/04,17,0,DES,0,0.25,0.25
DM3447,,BARCELOS,ALVELOS,1993/08/04,15,15,1993/08/04,15,40,DES,0,0.05,0.05
DM3448,,FEIRA,"VILA MAIOR",1993/08/04,15,15,1993/08/04,17,35,DES,0,0.4,0.4
DM3449,,V.MINHO,RUIVAES,1993/08/04,15,17,1993/08/04,18,29,DES,1.5,0,1.5
DM3450,,LOUSADA,COVAS,1993/08/04,15,20,1993/08/04,16,20,DES,0.1,0.1,0.2
DM3451,,O.AZEMEIS,CESAR,1993/08/04,15,25,1993/08/04,16,5,DES,0,0.02,0.02
DM3451,,O.AZEMEIS,CESAR,1993/08/04,18,50,1993/08/04,21,30,DES,0,2,2
DM3452,,FAMALICAO,REQUIAO,1993/08/04,15,30,1993/08/04,16,15,DES,0,0.03,0.03
DM3453,,MAIA,A.SANTAS,1993/08/04,15,35,1993/08/04,18,45,DES,0,0.35,0.35
DM3454,,VALENCA,SANFINS,1993/08/04,15,35,1993/08/04,17,40,DES,0,0.25,0.25
DM3455,,V.CONDE,GUILHABREU,1993/08/04,15,40,1993/08/04,17,45,DES,0,0.05,0.05
DM3456,,V.MINHO,ROSSAS,1993/08/05,15,0,1993/08/05,16,20,DES,0,0.05,0.05
DM3456,,V.MINHO,ROSSAS,1993/08/07,20,45,1993/08/07,22,55,DES,0,0.05,0.05
DM3456,,V.MINHO,ROSSAS,1993/08/06,11,5,1993/08/06,14,50,DES,0,0.08,0.08
DM3456,,V.MINHO,ROSSAS,1993/08/04,15,40,1993/08/04,21,15,DES,0,2,2
DM3456,,V.MINHO,ROSSAS,1993/08/05,1,5,1993/08/05,6,30,DES,0,2,2
DM3456,,V.MINHO,ROSSAS,1993/08/05,23,5,1993/08/06,1,5,DES,0,2,2
DM3457,,FAMALICAO,S.EULALIA,1993/08/04,15,40,1993/08/04,16,45,DES,0,0.01,0.01
DM3458,,S.J.MADEIRA,S.J.MADEIRA,1993/08/04,15,40,1993/08/04,16,50,DES,0,0.03,0.03
DM3459,,S.TIRSO,STO.TIRSO,1993/08/04,15,40,1993/08/04,16,25,DES,0,0.05,0.05
DM3460,,V.CONDE,V.PINHEIRO,1993/08/04,15,40,1993/08/04,17,45,DES,0,0.5,0.5
DM3461,,AMARANTE,BOSTELO,1993/08/04,15,45,1993/08/04,15,45,DES,3,4,7
DM3462,,S.TIRSO,GUIDOES,1993/08/04,15,50,1993/08/04,18,50,DES,0,0.7,0.7
DM3463,,P.FERREIRA,P.FERREIRA,1993/08/04,15,50,1993/08/04,16,10,DES,0,0.2,0.2
DM3464,,VALONGO,VALONGO,1993/08/04,15,55,1993/08/04,16,50,DES,0,2,2
DM3465,,BARCELOS,S.EULALIA,1993/08/04,16,0,1993/08/04,16,50,DES,0,0.03,0.03
DM3466,,T.BOURO,V.VEIGA,1993/08/04,16,0,1993/08/04,23,15,DES,0,7,7
DM3467,,PAREDES,RECAREI,1993/08/04,16,5,1993/08/04,17,10,DES,0,0.02,0.02
DM3468,,PAREDES,LORDELO,1993/08/04,16,10,1993/08/04,16,55,DES,0,0.15,0.15
DM3469,,P.FERREIRA,MODELOS,1993/08/04,16,10,1993/08/04,17,50,DES,0,0.25,0.25
DM3470,,GUIMARAES,S.JORGE,1993/08/04,16,10,1993/08/04,17,40,DES,0,0.25,0.25
DM3471,,FEIRA,CANEDO,1993/08/04,16,15,1993/08/04,16,55,DES,0,0.01,0.01
DM3472,,PENAFIEL,EJA,1993/08/04,16,15,1993/08/04,19,30,DES,0.3,0.3,0.6
DM3473,,AMARANTE,FREGIM,1993/08/04,20,15,1993/08/04,22,0,DES,0,0.01,0.01
DM3473,,AMARANTE,FREGIM,1993/08/04,16,15,1993/08/04,19,15,DES,1,1,2
DM3474,,FEIRA,ARRIFANA,1993/08/04,16,25,1993/08/04,17,0,DES,0,0.03,0.03
DM3475,,BRAGA,PEDRALVA,1993/08/04,16,25,1993/08/04,22,0,DES,30,0,30
DM3476,,MAIA,NOGUEIRA,1993/08/04,16,35,1993/08/04,18,0,DES,0,0.04,0.04
DM3477,,V.MINHO,RUIVAES,1993/08/05,13,5,1993/08/05,16,50,DES,0,1,1
DM3477,,V.MINHO,RUIVAES,1993/08/05,15,50,1993/08/05,19,40,DES,0,1,1
DM3477,,V.MINHO,RUIVAES,1993/08/04,16,40,1993/08/04,20,25,DES,0,2,2
DM3478,,V.N.GAIA,PEROSINHO,1993/08/04,16,45,1993/08/04,18,10,DES,0,0.2,0.2
DM3479,,AMARANTE,REAL,1993/08/04,16,50,1993/08/04,17,20,DES,0,0.03,0.03
DM3480,,GUIMARAES,SERZEDELO,1993/08/04,16,50,1993/08/04,18,5,DES,0,0.05,0.05
DM3481,,VALONGO,CAMPO,1993/08/04,17,0,1993/08/04,18,10,DES,0,0.2,0.2
DM3482,,GUIMARAES,DONIM,1993/08/04,17,0,1993/08/04,18,12,DES,0,0.08,0.08
DM3483,,PAREDES,VILELA,1993/08/04,17,0,1993/08/04,17,55,DES,0,0.05,0.05
DM3483,,PAREDES,VILELA,1993/08/04,19,15,1993/08/04,20,20,DES,0,0.05,0.05
DM3484,,V.CONDE,ARVORE,1993/08/04,17,15,1993/08/04,17,45,DES,0,0.01,0.01
DM3485,,FEIRA,SANGUEDO,1993/08/04,17,15,1993/08/04,17,45,DES,0,0.05,0.05
DM3486,,AMARANTE,FIGUEIRO,1993/08/04,17,20,1993/08/04,19,20,DES,0.5,0.5,1
DM3487,,AMARANTE,MANCELOS,1993/08/04,17,20,1993/08/04,19,20,DES,1,1,2
DM3488,,MARCO,MANHUNCELOS,1993/08/04,17,20,1993/08/04,20,0,DES,1,1.5,2.5
DM3489,,GONDOMAR,"RIO TINTO",1993/08/04,17,35,1993/08/04,18,35,DES,0,0.15,0.15
DM3490,,S.TIRSO,S.BOUGADO,1993/08/04,17,50,1993/08/04,18,50,DES,0,0.02,0.02
DM3491,,BRAGA,PEDRALVA,1993/08/04,17,55,1993/08/04,23,15,DES,0,30,30
DM3492,,FAMALICAO,STA.MARIA,1993/08/04,18,0,1993/08/04,19,10,DES,0,0.09,0.09
DM3493,,FELGUEIRAS,V.FRIA,1993/08/04,18,0,1993/08/04,20,10,DES,0,1,1
DM3494,,PAREDES,BALTAR,1993/08/04,18,5,1993/08/04,18,40,DES,0,0.01,0.01
DM3495,,AMARANTE,REAL,1993/08/04,18,5,1993/08/04,19,20,DES,0,0.1,0.1
DM3496,,V.N.GAIA,PEDROSO,1993/08/04,18,8,1993/08/04,19,18,DES,0,0.02,0.02
DM3497,,PENAFIEL,PENAFIEL,1993/08/04,18,10,1993/08/04,19,0,DES,0,0.1,0.1
DM3498,,P.FERREIRA,RAIMONDA,1993/08/04,18,10,1993/08/04,19,25,DES,0,0.1,0.1
DM3499,,GUIMARAES,S.ESTEVAO,1993/08/04,18,12,1993/08/04,19,12,DES,0,0.02,0.02
DM3500,,BRAGA,NOGUEIRO,1993/08/04,18,15,1993/08/04,19,45,DES,0,0.01,0.01
DM3501,,VALENCA,CERDAL,1993/08/04,18,20,1993/08/04,18,50,DES,0,0.07,0.07
DM3502,,BRAGA,M.TIBAES,1993/08/04,18,20,1993/08/04,18,55,DES,0,0.01,0.01
DM3503,,V.CASTELO,V.FRANCA,1993/08/04,18,40,1993/08/04,20,0,DES,0,0.1,0.1
DM3504,,P.FERREIRA,RAIMONDA,1993/08/04,18,45,1993/08/04,20,45,DES,0,1,1
DM3505,,S.TIRSO,S.M.CORONADO,1993/08/04,18,50,1993/08/04,19,55,DES,0,0.1,0.1
DM3506,,V.CONDE,V.CONDE,1993/08/04,18,50,1993/08/04,19,10,DES,0,0.01,0.01
DM3507,,FAMALICAO,NOVAIS,1993/08/04,18,55,1993/08/04,19,40,DES,0,0.03,0.03
DM3508,,BRAGA,SEQUEIRA,1993/08/04,19,0,1993/08/04,19,45,DES,0,0.01,0.01
DM3509,,V.CASTELO,MEADELA,1993/08/04,19,5,1993/08/04,19,50,DES,0,0.05,0.05
DM3510,,P.FERREIRA,PENAMAIOR,1993/08/04,19,5,1993/08/04,19,30,DES,0,0.05,0.05
DM3511,,MAIA,A.SANTAS,1993/08/04,19,10,1993/08/04,21,50,DES,0,0.15,0.15
DM3512,,V.CONDE,AZURARA,1993/08/04,19,15,1993/08/04,19,35,DES,0,0.15,0.15
DM3513,,BARCELOS,PARADELA,1993/08/04,19,15,1993/08/04,20,0,DES,0,0.2,0.2
DM3514,,V.CONDE,FORNELO,1993/08/04,19,20,1993/08/04,21,10,DES,0,0.15,0.15
DM3515,,AMARANTE,OLIVEIRA,1993/08/04,19,20,1993/08/04,21,20,DES,0,0.8,0.8
DM3516,,GUIMARAES,LORDELO,1993/08/04,19,25,1993/08/04,20,45,DES,0,0.02,0.02
DM3517,,BARCELOS,MINHOTAES,1993/08/04,20,0,1993/08/04,20,40,DES,0,0.01,0.01
DM3518,,V.N.GAIA,V.ANDORINHO,1993/08/04,20,2,1993/08/04,21,12,DES,0,0.08,0.08
DM3519,,ESPINHO,PARAMOS,1993/08/04,20,15,1993/08/04,21,50,DES,0,0.2,0.2
DM3520,,FAMALICAO,CALENDARIO,1993/08/04,20,25,1993/08/04,21,0,DES,0,0.01,0.01
DM3521,,PENAFIEL,EJA,1993/08/04,20,35,1993/08/04,21,30,DES,0,0.3,0.3
DM3521,,PENAFIEL,EJA,1993/08/04,21,30,1993/08/05,1,30,DES,0,0.7,0.7
DM3522,,V.N.CERVEIRA,GONDAREM,1993/08/04,20,35,1993/08/04,21,45,DES,0,1,1
DM3523,,VALONGO,ERMESINDE,1993/08/04,20,37,1993/08/04,22,45,DES,0,0.2,0.2
DM3524,,S.TIRSO,S.M.CORONADO,1993/08/04,20,40,1993/08/04,21,10,DES,0,0.05,0.05
DM3525,,V.N.GAIA,GRIJO,1993/08/04,20,50,1993/08/05,0,45,DES,0,0.4,0.4
DM3526,,GONDOMAR,VALBOM,1993/08/04,21,0,1993/08/04,21,30,DES,0,0.01,0.01
DM3527,,GUIMARAES,"MESAO FRIO",1993/08/04,21,15,1993/08/04,22,45,DES,0,0.1,0.1
DM3528,,GONDOMAR,S.COSME,1993/08/04,21,20,1993/08/04,22,20,DES,0,0.1,0.1
DM3529,,S.TIRSO,VILARINHO,1993/08/04,21,40,1993/08/04,22,50,DES,0,0.1,0.1
DM3530,,PAREDES,BALTAR,1993/08/04,21,45,1993/08/04,22,20,DES,0,0.01,0.01
DM3531,,A.VALDEVEZ,S.JORGE,1993/08/04,21,45,1993/08/04,23,45,DES,0.7,0,0.7
DM3532,,S.TIRSO,GUIDOES,1993/08/04,22,5,1993/08/04,23,55,DES,0,0.01,0.01
DM3533,,FELGUEIRAS,RANDE,1993/08/04,22,50,1993/08/04,23,50,DES,0,0.05,0.05
DM3534,,AMARANTE,REAL,1993/08/04,23,0,1993/08/05,0,0,DES,0,0.2,0.2
DM3535,,P.LIMA,V.PIAES,1993/08/04,23,0,1993/08/05,0,45,DES,0,0.04,0.04
DM3536,,MARCO,V.B.QUIRES,1993/08/04,23,30,1993/08/05,0,40,DES,0,0.01,0.01
DM3537,,S.TIRSO,GUIDOES,1993/08/04,23,45,1993/08/05,1,30,DES,0,0.01,0.01
DM3538,,GUIMARAES,OUTRAS,1993/08/05,16,0,1993/08/05,19,30,DES,0,0.05,0.05
DM3538,,GUIMARAES,OUTRAS,1993/08/05,21,45,1993/08/05,23,25,DES,0,0.05,0.05
DM3538,,GUIMARAES,OUTRAS,1993/08/05,0,0,1993/08/05,1,20,DES,0,0.5,0.5
DM3539,,V.CASTELO,ALVARAES,1993/08/05,0,10,1993/08/05,1,35,DES,0,0.15,0.15
DM3540,,S.J.MADEIRA,S.J.MADEIRA,1993/08/05,0,15,1993/08/05,2,10,DES,0,0.05,0.05
DM3541,,BARCELOS,CARVALHOS,1993/08/05,0,30,1993/08/05,1,20,DES,0,0.3,0.3
DM3542,,ESPINHO,PARAMOS,1993/08/05,0,55,1993/08/05,2,35,DES,0,0.05,0.05
DM3543,,GUIMARAES,S.TORCATO,1993/08/05,0,55,1993/08/05,2,5,DES,0,0.1,0.1
DM3543,,GUIMARAES,S.TORCATO,1993/08/05,18,0,1993/08/05,19,10,DES,0,0.5,0.5
DM3544,,V.N.GAIA,SANDIM,1993/08/05,2,0,1993/08/05,3,20,DES,0,0.1,0.1
DM3545,,V.CONDE,MACIEIRA,1993/08/05,2,15,1993/08/05,3,20,DES,0,0.1,0.1
DM3546,,FAMALICAO,S.EULALIA,1993/08/05,2,15,1993/08/05,3,10,DES,0,0.05,0.05
DM3546,,FAMALICAO,S.EULALIA,1993/08/05,17,45,1993/08/05,18,55,DES,0,0.1,0.1
DM3547,,BARCELOS,S.VERISSIMO,1993/08/05,2,25,1993/08/05,3,0,DES,0,0.05,0.05
DM3548,,VALENCA,CERDAL,1993/08/05,2,50,1993/08/05,3,25,DES,0,0.01,0.01
DM3549,,V.N.CERVEIRA,SAPARDOS,1993/08/05,3,20,1993/08/05,5,15,DES,0,0.12,0.12
DM3550,,T.BOURO,V.VEIGA,1993/08/05,3,30,1993/08/05,18,30,DES,6,0,6
DM3551,,V.N.CERVEIRA,SAPARDOS,1993/08/05,3,40,1993/08/05,5,0,DES,0.09,0,0.09
DM3552,,PAREDES,SOBROSA,1993/08/05,4,20,1993/08/05,5,20,DES,0,0.02,0.02
DM3553,,V.CONDE,V.PINHEIRO,1993/08/05,4,30,1993/08/05,5,45,DES,0,0.03,0.03
DM3554,,P.LIMA,V.PIAES,1993/08/05,4,40,1993/08/05,6,0,DES,0,0.02,0.02
DM3555,,A.VALDEVEZ,M.REDONDO,1993/08/05,5,20,1993/08/05,7,30,DES,0,0.5,0.5
DM3556,,BRAGA,ESPINHO,1993/08/05,6,45,1993/08/05,8,25,DES,0,0.01,0.01
DM3557,,PAREDES,MOURIZ,1993/08/05,6,50,1993/08/05,8,10,DES,0,0.02,0.02
DM3558,,A.VALDEVEZ,SA,1993/08/05,7,30,1993/08/05,9,10,DES,1.5,0,1.5
DM3559,,FAMALICAO,GAVIAO,1993/08/05,8,15,1993/08/05,9,50,DES,0,0.06,0.06
DM3560,,PAREDES,REBORDOSA,1993/08/05,8,35,1993/08/05,9,15,DES,0,0.1,0.1
DM3561,,BARCELOS,MARTIM,1993/08/05,9,10,1993/08/05,13,30,DES,0,0.15,0.15
DM3561,,BARCELOS,MARTIM,1993/08/05,14,15,1993/08/05,16,30,DES,0,0.15,0.15
DM3562,,GUIMARAES,BARCO,1993/08/05,10,5,1993/08/05,11,55,DES,0,0.05,0.05
DM3563,,FAFE,AROES,1993/08/05,15,0,1993/08/05,15,50,DES,0,0.01,0.01
DM3563,,FAFE,AROES,1993/08/05,19,30,1993/08/05,20,30,DES,0,0.01,0.01
DM3563,,FAFE,AROES,1993/08/05,20,10,1993/08/05,20,40,DES,0,0.01,0.01
DM3563,,FAFE,AROES,1993/08/05,11,5,1993/08/05,11,50,DES,0,0.05,0.05
DM3564,,V.N.GAIA,SERMONDE,1993/08/05,11,25,1993/08/05,12,20,DES,0,0.08,0.08
DM3565,,AMARANTE,TRAVANCA,1993/08/05,11,35,1993/08/05,12,20,DES,0,0.06,0.06
DM3566,,P.FERREIRA,P.FERREIRA,1993/08/05,11,40,1993/08/05,13,10,DES,0,0.15,0.15
DM3567,,A.VALDEVEZ,S.JORGE,1993/08/05,12,0,1993/08/05,16,45,DES,2,0,2
DM3568,,VALENCA,S.P.TORRE,1993/08/05,12,35,1993/08/05,20,35,DES,7,13,20
DM3569,,VALENCA,S.P.TORRE,1993/08/05,12,35,1993/08/05,12,35,INT,7,13,20
DM3570,,S.TIRSO,AVES,1993/08/05,12,45,1993/08/05,13,15,DES,0,0.05,0.05
DM3571,,PAREDES,LORDELO,1993/08/05,13,0,1993/08/05,13,25,DES,0,0.1,0.1
DM3572,,S.TIRSO,GUIDOES,1993/08/05,13,17,1993/08/05,16,12,DES,0,0.3,0.3
DM3573,,GUIMARAES,SERZEDELO,1993/08/05,13,20,1993/08/05,14,10,DES,0,0.25,0.25
DM3574,,P.FERREIRA,FREAMUNDE,1993/08/05,13,25,1993/08/05,14,10,DES,0,0.01,0.01
DM3575,,GUIMARAES,GUARDIZELA,1993/08/05,13,35,1993/08/05,14,30,DES,0,0.05,0.05
DM3576,,FAMALICAO,ANTAS,1993/08/05,13,50,1993/08/05,14,20,DES,0,0.04,0.04
DM3577,,AMARANTE,CANDEMIL,1993/08/05,13,50,1993/08/05,16,20,DES,0,0.03,0.03
DM3578,,MATOSINHOS,S.HORA,1993/08/05,13,50,1993/08/05,14,50,DES,0,0.03,0.03
DM3579,,P.COURA,CRISTELO,1993/08/05,13,55,1993/08/05,14,55,DES,0,0.01,0.01
DM3580,,MAIA,A.SANTAS,1993/08/05,14,0,1993/08/05,14,30,DES,0,0.05,0.05
DM3581,,AMARANTE,REAL,1993/08/05,14,0,1993/08/05,15,20,DES,0.25,0.25,0.5
DM3582,,BRAGA,ESCUDEIROS,1993/08/05,14,10,1993/08/05,16,30,DES,0,0.4,0.4
DM3583,,P.FERREIRA,FREAMUNDE,1993/08/05,14,15,1993/08/05,14,55,DES,0,0.15,0.15
DM3584,,LOUSADA,MEINEDO,1993/08/05,14,20,1993/08/05,14,55,DES,0,0.1,0.1
DM3585,,GONDOMAR,F.SOUSA,1993/08/05,17,35,1993/08/06,0,35,DES,0,1,1
DM3585,,GONDOMAR,F.SOUSA,1993/08/05,14,30,1993/08/05,17,30,DES,0,1.25,1.25
DM3586,,BARCELOS,GILMONTE,1993/08/05,14,30,1993/08/05,15,0,DES,0,0.04,0.04
DM3587,,V.CONDE,ARVORE,1993/08/05,14,35,1993/08/05,15,50,DES,0,0.2,0.2
DM3588,,V.N.GAIA,OLIV.DOURO,1993/08/05,14,35,1993/08/05,15,20,DES,0,0.02,0.02
DM3589,,MAIA,MILHEIROS,1993/08/05,14,45,1993/08/05,15,55,DES,0,0.06,0.06
DM3590,,BRAGA,GUISANDE,1993/08/05,14,50,1993/08/05,16,10,DES,0,1,1
DM3591,,LOUSADA,AVELEDA,1993/08/05,14,55,1993/08/05,16,40,DES,0,0.2,0.2
DM3592,,P.FERREIRA,FERREIRA,1993/08/05,16,15,1993/08/05,17,0,DES,0,0.06,0.06
DM3592,,P.FERREIRA,FERREIRA,1993/08/05,14,55,1993/08/05,15,45,DES,0,0.1,0.1
DM3593,,MATOSINHOS,MATOSINHOS,1993/08/05,14,55,1993/08/05,18,30,DES,0,0.2,0.2
DM3594,,PAREDES,CETE,1993/08/05,15,0,1993/08/05,17,25,DES,0,0.15,0.15
DM3595,,CEL.BASTO,MOREIRA,1993/08/05,15,0,1993/08/05,16,30,DES,0,0.15,0.15
DM3596,,P.FERREIRA,MODELOS,1993/08/05,15,15,1993/08/05,16,10,DES,0,0.03,0.03
DM3597,,S.TIRSO,REBORDOES,1993/08/05,15,30,1993/08/05,16,30,DES,0,0.1,0.1
DM3597,,S.TIRSO,REBORDOES,1993/08/05,16,45,1993/08/05,17,30,DES,0,0.15,0.15
DM3598,,S.TIRSO,REGUENGA,1993/08/05,15,35,1993/08/05,17,35,DES,0,0.05,0.05
DM3598,,S.TIRSO,REGUENGA,1993/08/05,19,0,1993/08/05,20,20,DES,0,0.1,0.1
DM3599,,MATOSINHOS,L.BAILIO,1993/08/05,15,40,1993/08/05,17,20,DES,0,0.15,0.15
DM3600,,GUIMARAES,S.CRISTOVAO,1993/08/05,15,45,1993/08/05,19,30,DES,0,2,2
DM3601,,VALONGO,CAMPO,1993/08/05,15,50,1993/08/05,16,55,DES,0,0.05,0.05
DM3602,,PAREDES,GANDRA,1993/08/05,15,50,1993/08/05,17,5,DES,0,0.04,0.04
DM3603,,BRAGA,MAXIMINOS,1993/08/05,15,55,1993/08/05,17,0,DES,0,0.1,0.1
DM3604,,GUIMARAES,AROSA,1993/08/05,16,0,1993/08/05,17,50,DES,0,0.8,0.8
DM3605,,FAFE,SERAFAO,1993/08/05,16,4,1993/08/05,16,42,DES,0,0.1,0.1
DM3606,,V.N.GAIA,PEDROSO,1993/08/05,16,10,1993/08/05,17,0,DES,0,0.02,0.02
DM3607,,V.CASTELO,C.NEIVA,1993/08/05,16,15,1993/08/05,17,15,DES,0,0.1,0.1
DM3608,,FELGUEIRAS,SERNANDE,1993/08/05,19,5,1993/08/05,20,10,DES,0,0.2,0.2
DM3608,,FELGUEIRAS,SERNANDE,1993/08/05,16,25,1993/08/05,17,45,DES,0,0.5,0.5
DM3609,,MONCAO,MONCAO,1993/08/05,16,35,1993/08/05,17,30,DES,0,0.5,0.5
DM3610,,S.TIRSO,MURO,1993/08/05,16,40,1993/08/05,17,10,DES,0,0.2,0.2
DM3611,,GUIMARAES,NESPEREIRA,1993/08/05,16,50,1993/08/05,18,20,DES,0,10,10
DM3612,,PAREDES,P.TODEIA,1993/08/05,17,0,1993/08/05,17,40,DES,0,0.03,0.03
DM3613,,FEIRA,PIGEIROS,1993/08/05,17,0,1993/08/05,18,20,DES,0,0.08,0.08
DM3614,,GUIMARAES,LORDELO,1993/08/05,17,20,1993/08/05,18,0,DES,0,0.2,0.2
DM3615,,GUIMARAES,S.MIGUEL,1993/08/05,17,20,1993/08/05,18,0,DES,0,0.05,0.05
DM3616,,PENAFIEL,PENAFIEL,1993/08/05,17,25,1993/08/05,18,15,DES,0.04,0.04,0.08
DM3617,,FELGUEIRAS,VARZIELA,1993/08/05,17,30,1993/08/05,18,40,DES,0,0.03,0.03
DM3618,,FAFE,FREITAS,1993/08/05,17,40,1993/08/05,19,50,DES,0,0.03,0.03
DM3618,,FAFE,FREITAS,1993/08/06,17,0,1993/08/06,19,0,DES,0,1,1
DM3619,,AMARANTE,LOMBA,1993/08/05,17,45,1993/08/05,18,45,DES,0.3,0.2,0.5
DM3620,,V.N.GAIA,V.ANDORINHO,1993/08/05,17,45,1993/08/05,18,40,DES,0,0.02,0.02
DM3621,,VALONGO,VALONGO,1993/08/05,18,15,1993/08/05,18,35,DES,0,0.2,0.2
DM3622,,PENAFIEL,EJA,1993/08/05,18,25,1993/08/05,20,10,DES,0,0.4,0.4
DM3623,,BARCELOS,GRIMANCELOS,1993/08/05,18,25,1993/08/05,18,50,DES,0,0.1,0.1
DM3624,,V.N.GAIA,S.F.MARINHA,1993/08/05,18,42,1993/08/05,19,50,DES,0,0.02,0.02
DM3624,,V.N.GAIA,S.F.MARINHA,1993/08/05,22,45,1993/08/06,0,30,DES,0,0.8,0.8
DM3625,,P.LIMA,V.PIAES,1993/08/05,18,45,1993/08/05,20,30,DES,0,0.02,0.02
DM3626,,ESPOSENDE,ANTAS,1993/08/05,19,45,1993/08/05,22,30,DES,0,0.3,0.3
DM3627,,S.TIRSO,PALMEIRA,1993/08/05,20,50,1993/08/05,21,30,DES,0,0.5,0.5
DM3627,,S.TIRSO,PALMEIRA,1993/08/05,19,55,1993/08/05,21,10,DES,0.2,0,0.2
DM3628,,PAREDES,REBORDOSA,1993/08/05,19,55,1993/08/05,21,0,DES,0,0.2,0.2
DM3629,,T.BOURO,CARVALHEIRA,1993/08/05,20,10,1993/08/05,22,0,DES,0,1,1
DM3630,,PAREDES,RECAREI,1993/08/05,20,15,1993/08/05,21,30,DES,0,0.01,0.01
DM3631,,FAMALICAO,S.EULALIA,1993/08/05,20,30,1993/08/05,21,55,DES,0,0.02,0.02
DM3632,,BRAGA,S.LAZARO,1993/08/05,20,30,1993/08/05,21,0,DES,0,0.05,0.05
DM3633,,PENAFIEL,BUSTELO,1993/08/05,20,35,1993/08/05,21,35,DES,0,0.2,0.2
DM3634,,P.VARZIM,P.VARZIM,1993/08/05,20,40,1993/08/05,21,30,DES,0,0.07,0.07
DM3635,,GONDOMAR,"RIO TINTO",1993/08/05,20,48,1993/08/05,21,48,DES,0,0.02,0.02
DM3636,,FAMALICAO,STA.MARIA,1993/08/05,20,50,1993/08/05,21,20,DES,0,0.1,0.1
DM3637,,V.N.GAIA,V.ANDORINHO,1993/08/05,20,55,1993/08/05,21,55,DES,0,0.02,0.02
DM3638,,S.TIRSO,STO.TIRSO,1993/08/05,20,57,1993/08/05,21,42,DES,0,0.05,0.05
DM3639,,P.FERREIRA,PENAMAIOR,1993/08/05,21,0,1993/08/05,21,30,DES,0,0.03,0.03
DM3640,,P.LANHOSO,SERZEDELO,1993/08/05,21,15,1993/08/05,22,15,DES,0,0.5,0.5
DM3641,,S.TIRSO,A.LONGA,1993/08/05,21,35,1993/08/05,23,0,DES,0,0.05,0.05
DM3642,,S.TIRSO,GUIDOES,1993/08/05,21,40,1993/08/05,23,20,DES,0,0.05,0.05
DM3643,,MONCAO,ANHOES,1993/08/05,22,0,1993/08/06,0,0,DES,0,49,49
DM3644,,BAIAO,OVIL,1993/08/05,22,0,1993/08/05,23,0,DES,0,0.5,0.5
DM3645,,GONDOMAR,S.P.COVA,1993/08/05,22,0,1993/08/05,23,0,DES,0,0.1,0.1
DM3646,,V.CONDE,V.CONDE,1993/08/05,22,30,1993/08/05,23,30,DES,0,0.1,0.1
DM3647,,V.VERDE,BARROS,1993/08/05,22,50,1993/08/06,1,15,DES,0,0.3,0.3
DM3648,,P.FERREIRA,FERREIRA,1993/08/05,22,50,1993/08/06,0,30,DES,0,0.2,0.2
DM3649,,LOUSADA,NESPEREIRA,1993/08/05,22,50,1993/08/06,0,15,DES,0.1,0.1,0.2
DM3650,,FAMALICAO,RIBEIRAO,1993/08/05,22,55,1993/08/05,23,45,DES,0,0.05,0.05
DM3651,,GUIMARAES,AZUREM,1993/08/05,23,0,1993/08/06,0,0,DES,0,0.3,0.3
DM3652,,BRAGA,ESPINHO,1993/08/05,23,0,1993/08/06,2,35,DES,0,1,1
DM3653,,P.FERREIRA,FERREIRA,1993/08/05,23,0,1993/08/06,0,0,DES,0,0.05,0.05
DM3654,,PENAFIEL,CROCA,1993/08/05,23,5,1993/08/05,23,40,DES,0,0.2,0.2
DM3655,,FAMALICAO,LEMENHE,1993/08/05,23,5,1993/08/05,23,40,DES,0,0.55,0.55
DM3656,,V.CONDE,ARVORE,1993/08/05,23,10,1993/08/06,0,30,DES,0,0.02,0.02
DM3657,,GUIMARAES,SERZEDELO,1993/08/05,23,15,1993/08/06,0,35,DES,0,0.05,0.05
DM3658,,V.CONDE,TOUGUINHA,1993/08/05,23,35,1993/08/06,0,30,DES,0,0.1,0.1
DM3659,,V.VERDE,ATAES,1993/08/05,23,40,1993/08/06,1,15,DES,0,0.5,0.5
DM3660,,PENAFIEL,S.M.RECESINHOS,1993/08/05,23,40,1993/08/06,0,20,DES,0,0.1,0.1
DM3661,,V.VERDE,GEME,1993/08/05,23,45,1993/08/06,1,40,DES,0.5,0,0.5
DM3662,,P.FERREIRA,FREAMUNDE,1993/08/06,0,0,1993/08/06,0,35,DES,0,0.01,0.01
DM3663,,P.FERREIRA,FREAMUNDE,1993/08/06,0,15,1993/08/06,0,45,DES,0,0.07,0.07
DM3664,,PAREDES,LORDELO,1993/08/06,0,25,1993/08/06,1,20,DES,0,0.1,0.1
DM3665,,S.J.MADEIRA,S.J.MADEIRA,1993/08/06,0,35,1993/08/06,2,25,DES,0,0.05,0.05
DM3666,,VALONGO,SOBRADO,1993/08/06,0,35,1993/08/06,2,0,DES,0,0.2,0.2
DM3667,,S.TIRSO,MURO,1993/08/06,1,10,1993/08/06,2,15,DES,0,0.03,0.03
DM3668,,MARCO,V.B.QUIRES,1993/08/06,1,15,1993/08/06,2,30,DES,0,0.01,0.01
