REGISTO,OBSER,CONCELHO,FREGUESIA,DATAINICIO,HORAINI,MINUTINI,DATAFIM,HORAFIM,MINUFIM,CAUSA,A_ARBORIZA,A_N_ARBORI,TOTAL
AG0172,,LOULE,ALMANSIL,1993/07/19,15,48,1993/07/19,16,45,DES,0,0.05,0.05
AG0173,,LOULE,QUARTEIRA,1993/07/19,16,55,1993/07/19,19,30,DES,0,0.5,0.5
AG0174,,LOULE,S.CLEMENTE,1993/07/19,23,9,1993/07/19,23,48,DES,0,0.02,0.02
AG0175,,S.B.ALPORTEL,S.B.ALPORTEL,1993/07/20,2,56,1993/07/20,3,3,DES,0,0.005,0.005
AG0176,,ALBUFEIRA,ALBUFEIRA,1993/07/20,13,57,1993/07/20,14,36,DES,0,0.03,0.03
AG0177,,ALJEZUR,ODECEIXE,1993/07/20,14,18,1993/07/20,16,46,DES,0,0.02,0.02
AG0178,,LOULE,S.CLEMENTE,1993/07/20,17,2,1993/07/20,17,43,DES,0.004,0,0.004
AG0179,,OLHAO,OLHAO,1993/07/20,19,2,1993/07/20,19,40,DES,0,0.005,0.005
AG0180,,SILVES,ALCANTARILHA,1993/07/20,19,50,1993/07/20,21,20,DES,0,0.005,0.005
AG0181,,PORTIMAO,PORTIMAO,1993/07/20,21,6,1993/07/20,21,44,DES,0,0.02,0.02
AG0182,,SILVES,SILVES,1993/07/21,9,40,1993/07/21,19,41,DES,0,0.001,0.001
AG0183,,LOULE,S.SEBASTIAO,1993/07/22,0,10,1993/07/22,1,0,DES,0,0.05,0.05
AG0184,,OLHAO,OLHAO,1993/07/22,12,59,1993/07/22,13,50,DES,0,0.5,0.5
AG0185,,OLHAO,OLHAO,1993/07/22,14,44,1993/07/22,15,55,DES,0,0.005,0.005
AG0186,,LOULE,QUARTEIRA,1993/07/22,15,58,1993/07/22,16,36,DES,0,0.01,0.01
AG0187,,V.R.S.ANTº,V.R.S.ANTº,1993/07/22,18,20,1993/07/22,19,40,DES,0.5,1.5,2
AG0188,,PORTIMAO,PORTIMAO,1993/07/22,22,7,1993/07/22,22,56,DES,0,0.004,0.004
AG0189,,PORTIMAO,PORTIMAO,1993/07/23,17,38,1993/07/24,11,48,DES,0,0.01,0.01
AG0190,,PORTIMAO,PORTIMAO,1993/07/23,13,5,1993/07/24,4,16,DES,0.01,0,0.01
AG0191,,ALJEZUR,ALJEZUR,1993/07/23,10,48,1993/07/23,22,23,DES,0,0.002,0.002
AG0192,,LOULE,S.SEBASTIAO,1993/07/23,15,50,1993/07/24,10,45,DES,2,0,2
AG0193,,OLHAO,OLHAO,1993/07/23,9,49,1993/07/23,10,58,DES,0.01,0.01,0.02
AG0194,,S.B.ALPORTEL,S.B.ALPORTEL,1993/07/23,17,50,1993/07/24,13,17,DES,0,0.025,0.025
AG0195,,S.B.ALPORTEL,S.B.ALPORTEL,1993/07/24,22,29,1993/07/25,0,19,DES,0,1,1
AG0196,,ALJEZUR,ODECEIXE,1993/07/24,0,35,1993/07/24,3,0,DES,0,0.02,0.02
AG0197,,V.R.S.ANTº,V.R.S.ANTº,1993/08/24,15,40,1993/08/24,17,15,DES,0,2,2
